Name,Author,Avg Rating,Rating Count,Score,Vote Count
Sophie’s Choice,William Styron,4.17,92360,673.0,9
The Cider House Rules,John Irving,0.0,0,667.0,8
Red Dragon (Hannibal Lecter\, #1),Thomas  Harris,4.06,347130,654.0,8
The Lost World (Jurassic Park\, #2),Michael Crichton,3.86,162839,652.0,9
The Pelican Brief,John Grisham,0.0,0,650.0,8
A Time to Kill (Jake Brigance\, #1),John Grisham,0.0,0,638.0,8
Trainspotting,Irvine Welsh,4.11,170998,627.0,7
Midnight in the Garden of Good and Evil,John Berendt,3.92,280220,627.0,9
Water for Elephants,Sara Gruen,0.0,0,603.0,7
The Last of the Mohicans (The Leatherstocking Tales\, #2),James Fenimore Cooper,3.7,97917,599.0,9
The Thin Red Line,James  Jones,3.99,14081,594.0,7
Kiss the Girls (Alex Cross\, #2),James Patterson,0.0,0,583.0,7
Apollo 13,Jim Lovell,4.38,9274,579.0,7
About a Boy,Nick Hornby,3.8,138253,570.0,7
The Three Musketeers,Alexandre Dumas,4.09,333382,565.0,8
Sleeping with the Enemy,Nancy  Price,4.0,9119,563.0,8
Circle of Friends,Maeve Binchy,4.07,66437,559.0,7
The Reader,Bernhard Schlink,3.78,218103,559.0,7
Picnic at Hanging Rock,Joan Lindsay,3.66,26870,554.0,7
The Prime of Miss Jean Brodie,Muriel Spark,3.7,57019,549.0,8
What Was She Thinking? [Notes on a Scandal],Zoë Heller,3.73,24005,547.0,7
In Cold Blood,Truman Capote,4.09,683526,538.0,7
In Her Shoes,Jennifer Weiner,0.0,0,537.0,7
Bambi: A Life in the Woods,Felix Salten,4.12,36861,537.0,6
The Handmaid’s Tale (The Handmaid's Tale\, #1),Margaret Atwood,0.0,0,530.0,7
Red Dragon and The Silence of the Lambs,Thomas  Harris,4.48,6082,520.0,7
The Other Boleyn Girl (The Plantagenet and Tudor Novels\, #9),Philippa Gregory,0.0,0,519.0,7
It [Eso],Stephen        King,0.0,0,514.0,7
Tinker\, Tailor\, Soldier\, Spy,John Le Carré,4.06,98144,503.0,7
The Caine Mutiny,Herman Wouk,4.29,25850,502.0,7
Howl's Moving Castle (Howl's Moving Castle\, #1),Diana Wynne Jones,4.29,389785,501.0,6
A Little Princess,Frances Hodgson Burnett,4.22,312875,500.0,7
One for the Money (Stephanie Plum\, #1),Janet Evanovich,0.0,0,498.0,6
The Stepford Wives,Ira Levin,3.86,45460,491.0,7
Persuasion,Jane Austen,4.15,725449,467.0,6
Where the Red Fern Grows,Wilson Rawls,4.12,418511,464.0,5
The Fellowship of the Ring (The Lord of the Rings\, #1),J.R.R. Tolkien,4.4,2892560,448.0,6
Out of Africa,Isak Dinesen,3.91,45392,446.0,6
Gone\, Baby\, Gone (Kenzie & Gennaro\, #4),Dennis Lehane,0.0,0,445.0,6
Life of Pi,Yann Martel,3.94,1670236,439.0,5
The Dead Zone,Stephen        King,0.0,0,437.0,5
What Dreams May Come,Richard Matheson,3.96,14221,434.0,5
Girl with a Pearl Earring,Tracy Chevalier,0.0,0,434.0,6
Romeo and Juliet,William Shakespeare,3.74,2675188,433.0,5
The English Patient,Michael Ondaatje,3.86,134819,432.0,6
12 Years a Slave,Solomon Northup,4.22,120144,429.0,5
The Fault in Our Stars,John Green,0.0,0,428.0,5
Twilight,Stephenie Meyer,3.66,6825386,420.0,5
Death on the Nile (Hercule Poirot\, #18),Agatha Christie,4.12,276075,414.0,5
Dolores Claiborne,Stephen        King,0.0,0,412.0,5
The Girl on the Train,Paula Hawkins,0.0,0,395.0,5
The Pillars of the Earth (Kingsbridge\, #1),Ken Follett,0.0,0,392.0,6
Divergent (Divergent\, #1),Veronica Roth,0.0,0,391.0,5
The Commitments (The Barrytown Trilogy\, #1; Jimmy Rabbitte\, #1),Roddy Doyle,3.92,16743,390.0,5
The Woman in Black,Susan         Hill,3.75,74155,388.0,6
A Passage To India,E.M. Forster,3.68,82359,387.0,5
Rabbit-Proof Fence,Doris Pilkington,3.69,8265,387.0,6
Brokeback Mountain,Annie Proulx,4.0,46751,384.0,5
The Hours,Michael Cunningham,0.0,0,383.0,5
Snow Falling on Cedars,David Guterson,3.86,189817,376.0,5
V for Vendetta,Steve Moore,4.15,3376,370.0,5
Interview with the Vampire (The Vampire Chronicles\, #1),Anne Rice,4.02,612106,370.0,5
The Return of the King (The Lord of the Rings\, #3),J.R.R. Tolkien,4.57,949955,368.0,5
Valley of the Dolls,Jacqueline Susann,3.84,71527,365.0,5
Empire of the Sun,J.G. Ballard,3.98,21296,357.0,5
Zorba the Greek,Nikos Kazantzakis,4.04,53975,357.0,6
Contact,Carl Sagan,4.15,146546,354.0,4
The Running Man,Richard Bachman,0.0,0,353.0,5
Old Yeller,Fred Gipson,4.1,100104,350.0,5
The Accidental Tourist,Anne Tyler,0.0,0,350.0,4
New Moon (The Twilight Saga\, #2),Stephenie Meyer,3.6,1997250,349.0,5
Extremely Loud & Incredibly Close,Jonathan Safran Foer,0.0,0,348.0,4
Apt Pupil,Stephen        King,0.0,0,345.0,4
Beaches,Iris Rainer Dart,4.15,15050,345.0,4
The Mosquito Coast,Paul Theroux,3.81,13153,329.0,5
How to Train Your Dragon (How to Train Your Dragon\, #1),Cressida Cowell,3.91,50744,328.0,4
The Painted Veil,W. Somerset Maugham,3.97,48043,325.0,4
Along Came a Spider (Alex Cross\, #1),James Patterson,0.0,0,322.0,5
Sarah\, Plain and Tall (Sarah\, Plain and Tall\, #1),Patricia MacLachlan,3.83,87707,320.0,4
The Time Traveler’s Wife,Audrey Niffenegger,0.0,0,318.0,5
The General's Daughter,Nelson DeMille,4.11,64624,317.0,4
Giant,Edna Ferber,4.02,3549,310.0,4
The Spy Who Came In from the Cold (George Smiley\, #3),John Le Carré,4.08,115454,309.0,6
Primal Fear (Vail/Stampler\, #1),William Diehl,4.24,9763,303.0,4
Modern Classics Maurice,E.M. Forster,4.08,50890,296.0,4
Under the Tuscan Sun: At Home in Italy,Frances Mayes,0.0,0,294.0,4
Presumed Innocent (Kindle County Legal Thriller\, #1),Scott Turow,0.0,0,292.0,5
Catching Fire (The Hunger Games\, #2),Suzanne Collins,4.33,3745548,286.0,4
Little Children,Tom Perrotta,3.64,32465,284.0,3
The Third Man,Graham Greene,3.79,15502,278.0,4
Vanity Fair,William Makepeace Thackeray,3.8,130090,277.0,4
The Minority Report,Philip K. Dick,3.85,23386,275.0,3
Nothing Lasts Forever (Die Hard\, #1),Roderick Thorp,3.54,3011,269.0,3
The Old Man and the Sea,Ernest Hemingway,3.8,1204605,268.0,4
Paper Towns,John Green,0.0,0,268.0,3
Coma,Robin Cook,0.0,0,267.0,3
Where the Heart Is,Billie Letts,4.04,250415,267.0,3
Catch-22,Joseph Heller,3.99,847744,266.0,5
The Go-Between,L.P. Hartley,4.0,12880,265.0,4
Disgrace,J.M. Coetzee,3.85,110122,262.0,3
The Sun Also Rises,Ernest Hemingway,3.79,460632,260.0,4
On the Beach,Nevil Shute,3.97,46248,257.0,4
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1403433,255.0,4
Possession,A.S. Byatt,3.89,81608,255.0,3
Memoirs of a Geisha,Arthur Golden,4.15,2040158,255.0,4
Edge of Tomorrow,Hiroshi Sakurazaka,4.03,22543,253.0,3
A Tree Grows in Brooklyn & Maggie-Now,Betty  Smith,4.42,1273,248.0,4
Charlotte’s Web,E.B. White,4.2,1909794,248.0,3
The Wolfman,Jonathan Maberry,0.0,0,245.0,3
Angela’s Ashes (Frank McCourt\, #1),Frank McCourt,4.15,639799,245.0,4
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,0.0,0,244.0,3
Magnificent Obsession,Lloyd C. Douglas,3.86,2080,242.0,4
Something Wicked This Way Comes,Ray Bradbury,3.91,140684,239.0,3
The Shipping News,Annie Proulx,3.88,148310,239.0,3
The Lincoln Lawyer (The Lincoln Lawyer\, #1; Harry Bosch Universe\, #16),Michael    Connelly,0.0,0,238.0,4
House of Sand and Fog,Andre Dubus III,3.86,134264,236.0,3
The Secret Garden,Frances Hodgson Burnett,4.16,1215351,236.0,4
