Name,Author,Avg Rating,Rating Count,Score,Vote Count
A Dog's Purpose (A Dog's Purpose\, #1),W. Bruce Cameron,0.0,0,60.0,0
Catholics,Brian Moore,3.74,671,59.0,0
A Monster Calls,Patrick Ness,4.35,274031,59.0,0
Tulip Fever,Deborah Moggach,0.0,0,58.0,0
The Snake Pit,Mary Jane Ward,4.0,676,57.0,2
A Night to Remember,Walter Lord,4.09,26064,56.0,0
Misty of Chincoteague (Misty\, #1),Marguerite Henry,4.07,46345,56.0,0
Night Must Fall: a Play in Three Acts,Emlyn Williams,3.68,112,55.0,2
Marie Antoinette: The Journey,Antonia Fraser,3.93,37499,55.0,0
Hideous Kinky,Esther Freud,3.51,3854,55.0,0
Love and War (North and South\, #2),John Jakes,4.14,18563,55.0,0
The Treasure of the Sierra Madre,B. Traven,4.1,2821,54.0,0
Jasper Jones,Craig Silvey,0.0,0,54.0,0
That Was Then\, This Is Now,S.E. Hinton,0.0,0,54.0,0
Martin the Warrior (Redwall\, #6),Brian Jacques,4.16,44030,53.0,0
Escape to Witch Mountain,Alexander Key,3.9,3591,53.0,0
Sometimes a Great Notion,Ken Kesey,4.26,22957,52.0,0
The Englishman Who Went Up a Hill and Came Down a Mountain,Christopher Monger,3.96,225,52.0,0
The Sword in the Stone (The Once and Future King\, #1),T.H. White,3.89,27245,51.0,0
Up the Down Staircase,Bel Kaufman,3.96,10206,51.0,0
The Last Unicorn (The Last Unicorn\, #1),Peter S. Beagle,0.0,0,50.0,0
West Side Story,Irving Shulman,4.11,19403,50.0,0
Outside Over There,Maurice Sendak,3.87,3925,49.0,0
The Rachel Papers,Martin Amis,3.58,10914,49.0,0
A Room with a View,E.M. Forster,3.9,190153,48.0,0
Blow-Up and Other Stories,Julio Cortázar,4.21,7523,47.0,0
Marathon Man,William Goldman,4.11,21229,47.0,2
The Basketball Diaries,Jim Carroll,3.99,31136,47.0,0
The Witches of Eastwick,John Updike,3.22,17787,46.0,0
The Little Girl Who Lives Down the Lane,Laird Koenig,3.87,2587,45.0,0
Somewhere In Time,Richard Matheson,3.85,8254,44.0,0
Straw Dogs,Gordon M. Williams,3.48,589,42.0,0
Gwendy's Button Box (The Button Box\, #1),Stephen        King,0.0,0,42.0,0
The Burning Bed: The True Story of an Abused Wife,Faith McNulty,4.26,1359,32.0,2
The Taking of Pelham One Two Three,John Godey,3.75,2340,30.0,0
The Man with the Golden Arm,Nelson Algren,3.87,3114,29.0,2
Such Good Friends,Lois Gould,3.16,75,24.0,0
Bright Lights\, Big City,Jay McInerney,0.0,0,22.0,0
At Play in the Fields of the Lord,Peter Matthiessen,4.03,3180,19.0,0
Deep Cover,Michael     Levine,0.0,0,18.0,0
Any Human Heart,William  Boyd,4.28,24305,17.0,0
The Four Horsemen of the Apocalypse,Vicente Blasco Ibáñez,3.95,1834,12.0,0
